unitType,make,stockNumber,year,model,color,msrp,unitId,modelName,invoice,holdback,rebate,age,advertisedPrice,structure,hondaCode,vin
MINIMOTO (b),HONDA,012932,2022,NVA110BN,Red,1807,012932-NVA110BN,NAVI,1890,90,0.00,34,1807,ON ROAD,255608,3H1JK0702ND012932
MINIMOTO (b),HONDA,014237,2022,NVA110BN,Grasshopper Green,1807,014237-NVA110BN,NAVI,1890,90,0.00,70,1807,ON ROAD,255606,3H1JK0705ND014237
MINIMOTO (b),HONDA,012937,2022,NVA110BN,Red,1807,012937-NVA110BN,NAVI,1890,90,0.00,34,1807,ON ROAD,255608,3H1JK0701ND012937
MINIMOTO (b),HONDA,013838,2022,NVA110BN,Ranger Green,1807,013838-NVA110BN,NAVI,1890,90,0.00,70,1807,ON ROAD,255609,3H1JK0704ND013838
MINIMOTO (b),HONDA,011795,2022,NVA110BN,Nut Brown,1807,011795-NVA110BN,NAVI,1890,90,0.00,70,1807,ON ROAD,255601,3H1JK0702ND011795
MINIMOTO (b),HONDA,011800,2022,NVA110BN,Nut Brown,1807,011800-NVA110BN,NAVI,1890,90,0.00,70,1807,ON ROAD,255601,3H1JK0702ND011800
MINIMOTO (b),HONDA,014241,2022,NVA110BN,Grasshopper Green,1807,014241-NVA110BN,NAVI,1890,90,0.00,70,1807,ON ROAD,255606,3H1JK0707ND014241
MINIMOTO (b),HONDA,012192,2022,NVA110BN,Ranger Green,1807,012192-NVA110BN,NAVI,1890,90,0.00,66,1807,ON ROAD,255609,3H1JK070XND012192
MINIMOTO (b),HONDA,012197,2022,NVA110BN,Ranger Green,1807,012197-NVA110BN,NAVI,1890,90,0.00,66,1807,ON ROAD,255609,3H1JK0709ND012197
MINIMOTO (b),HONDA,013841,2022,NVA110BN,Ranger Green,1807,013841-NVA110BN,NAVI,1890,90,0.00,70,1807,ON ROAD,255609,3H1JK0704ND013841
MINIMOTO (b),HONDA,011051,2022,NVA110BN,GREEN,1807,011051-NVA110BN,NAVI,1890,90,0.00,126,1807,ON ROAD,255606,3H1JK0709ND011051
MOTORCYCLE,HONDA,500109,2023,CB1000RAP,Black,12999,500109-CB1000RAP,CB1000R ABS,12084,650,0.00,31,12999,ON ROAD,256721,JH2SC8014PK500109
MOTORCYCLE,HONDA,400018,2023,CB500FAP,Matte Gray Metallic,6799,400018-CB500FAP,CB500F ABS,6583,340,0.00,66,6799,ON ROAD,256784,MLHPC6359P5400018
MOTORCYCLE,HONDA,400083,2023,CB650RAP,Matte Gray Metallic,9399,400083-CB650RAP,CB650R ABS,8777,470,0.00,35,9399,ON ROAD,256734,MLHRH0258P5400083
MOTORCYCLE,HONDA,600070,2023,CBR10RRP,Grand Prix Red,16599,600070-CBR10RRP,CBR1000RR,15216,830,0.00,66,16599,ON ROAD,256698,JH2SC771XPK600070
MOTORCYCLE,HONDA,700365,2023,VT13CXAP,Pearl Yellow,11499,700365-VT13CXAP,FURY ABS,10779,575,0.00,37,11499,ON ROAD,258452,JH2SC6165PK700365
